threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
0.035803833464769015,2277070.886773711,1505,0.4651370015593673,0.4646705228535783,6185,1771
0.037500000000000006,2261639.261451822,1486,0.4577856983738026,0.4554837246228876,6071,1718
-0.08,2258006.305693561,2299,0.6540432167520606,0.6505614154474311,8672,1937
-0.07775900996619126,2251686.228739566,2296,0.6533749164624638,0.6488601565158217,8654,1937
-0.0775,2248890.0489472076,2295,0.6531521496992648,0.6487467392537144,8652,1937
0.03842664105053884,2245394.1408950677,1479,0.4546669636890176,0.4512872859249178,6020,1695
0.039999999999999994,2209565.5392725756,1462,0.4488750278458454,0.4444822501984802,5934,1655
0.040960664133683655,2192658.56450787,1454,0.4448652261082646,0.44221390495633434,5896,1637
0.042499999999999996,2182451.999901479,1442,0.44085542437068387,0.4371101281615062,5833,1607
0.04582691733718072,2179931.8200394623,1403,0.42748941857874806,0.42089145968016334,5630,1532
0.04393028058072278,2170390.2094338736,1428,0.4357317888171085,0.4307587614834978,5754,1578
0.0487821249805484,2161607.6632245136,1352,0.4098908442860325,0.3993421798797777,5361,1429
0.045,2158587.2303034803,1416,0.43172198707952775,0.42565498468866964,5691,1555
0.0475,2156506.55264302,1378,0.417910447761194,0.40943631620732673,5486,1479
-0.08589778636576642,2155510.5481475643,2321,0.6589440855424371,0.6533968470001135,8719,1937
0.04769581738745903,2153997.165456538,1377,0.4176876809979951,0.4075082227515028,5468,1471
0.04983548884802713,2122324.4655045858,1326,0.4003118734684785,0.39276397867755475,5260,1389
0.05,2110770.8591483394,1321,0.3983069725996881,0.3919700578428037,5244,1381
0.050738132864866545,2077815.9039340345,1301,0.3909556694141234,0.3840308494952932,5141,1340
0.0515531161426797,2076986.7270660745,1275,0.38249053241256403,0.37643189293410456,5036,1307
-0.09363016683423551,2046468.3070622424,2346,0.6645132546224103,0.6585006237949416,8789,1937
0.05233274357069708,2029844.0286215183,1250,0.37469369570060146,0.36917318815923783,4937,1278
0.052500000000000005,2017601.5304396108,1245,0.373134328358209,0.36792559827605764,4919,1273
0.05333527583700866,2002311.5855445368,1224,0.3657830251726442,0.3618010661222638,4832,1239
0.054213346380332955,1999427.848662248,1199,0.35642682111828916,0.3549960303958262,4730,1202
0.05500000000000001,1965015.5683953,1181,0.35130318556471374,0.3467165702619939,4634,1175
0.05511476123634917,1948703.8065454876,1173,0.3492982846959234,0.34546898037881363,4614,1168
-0.10828575337530455,1933211.5507512714,2372,0.6703051904655826,0.6670069184529885,8890,1937
0.05577563675169658,1920980.8215165236,1148,0.33971931387836934,0.33741635476919585,4500,1117
-0.11667407703667143,1909178.3900412025,2397,0.6758743595455559,0.6719972779857094,8959,1937
0.05656923166908849,1900254.1041034814,1122,0.33169971040320784,0.32709538391743226,4373,1071
0.057384711969865755,1869753.6263685299,1097,0.321675206059256,0.31870250652149257,4254,1023
