policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
blend_decomp_direct_hgb_0.3,0.0049999999999999906,2037,0.7985103880831047,3782705.5113743404,1856.9982873708102,0.08100147275405008,0.9811838494707957
direct_margin_hgb_squared,0.018996887091860808,1976,0.7745981967855743,3782433.077951139,1914.186780339645,0.07692307692307693,0.9455115640925127
decomp_plus_profit_support_0.10,0.03469130876082671,1989,0.7796942375539004,3782256.908087849,1901.5871835534685,0.07742584213172449,0.9882399059192474
blend_decomp_direct_hgb_0.4,0.0011379084642246886,2062,0.8083104664837318,3781611.027197946,1833.9529714829998,0.08292919495635305,0.973735789886319
decomp_plus_profit_support_0.12,0.04999999999999999,1924,0.7542140337122697,3780389.736361765,1964.8595303335576,0.07224532224532225,0.964327714621717
blend_decomp_direct_hgb_0.9,-0.0073275071094370346,2134,0.8365346922775382,3780214.677087843,1771.4220604910229,0.0895032802249297,0.9447275578204626
blend_decomp_direct_hgb_0.4,0.018996887091860808,1926,0.7549980399843199,3779900.7685565725,1962.5653003928205,0.07268951194184839,0.9604076832614661
blend_decomp_direct_hgb_0.9,0.0011379084642246886,2080,0.8153665229321835,3779879.8116394496,1817.249909442043,0.08605769230769231,0.9517836142689141
blend_decomp_direct_hgb_0.4,0.008436339478676497,2018,0.791062328498628,3779372.318796619,1872.8306832490678,0.07928642220019821,0.97765582124657
decomp_plus_profit_support_0.10,0.035,1988,0.7793022344178754,3779186.560129557,1900.999275719093,0.07746478873239436,0.9878479027832223
blend_decomp_direct_hgb_0.2,0.008436339478676497,2003,0.7851822814582516,3778503.0933847297,1886.4219138216324,0.07888167748377434,0.986671893375147
blend_decomp_direct_hgb_0.6,0.018996887091860808,1953,0.7655821246569973,3777051.6418423876,1933.9742149730607,0.07475678443420379,0.9592316738533908
decomp_plus_profit_support_0.08,0.029675801359672106,1987,0.7789102312818502,3776631.3768107705,1900.6700436893661,0.07750377453447409,0.9874558996471972
blend_decomp_direct_hgb_0.5,0.01999999999999999,1934,0.7581340650725206,3775230.274705653,1952.0321999512166,0.0734229576008273,0.9596236769894159
decomp_plus_profit_support_0.12,0.04516520705715084,1951,0.764798118384947,3775084.2396621285,1934.948354516724,0.07483341875961046,0.9741277930223442
decomp_plus_profit_support_0.12,0.044999999999999984,1951,0.764798118384947,3775084.2396621285,1934.948354516724,0.07483341875961046,0.9741277930223442
blend_decomp_direct_hgb_0.7,0.024999999999999994,1894,0.7424539396315171,3774860.023767151,1993.0623145549898,0.07074973600844774,0.9400235201881615
decomp_plus_profit_support_0.02,0.009999999999999995,2012,0.7887103096824775,3774772.418341519,1876.1294325753076,0.08001988071570576,0.9972559780478244
