name,threshold,npv,approved_labeled,default_rate_approved,auroc,log_loss,brier,mean_pd,approved_total,headline_enpv,val_approval_rate,test_approval_rate
rev_0.35_rar_0.30,-0.024302560784341287,2609829.4157027374,2079,0.13804713804713806,0.7330371309205276,0.45593095574710807,0.14386488243518342,0.22892570067768475,8283,14752805.659639565,0.6257518378257964,0.6208460927753204
rev_-0.15_rar_-0.10,0.01587279843329665,2609757.8237188375,1988,0.13380281690140844,0.7331122377129982,0.44100220001540374,0.13827662994061313,0.20597672880871956,7995,14683592.731205862,0.6016930274003118,0.6004309855960077
rev_0.15_rar_-0.35,0.0039273031630555075,2609592.122387223,2076,0.13728323699421965,0.7300244097075529,0.4431864171531966,0.1392535962834641,0.20112496262317583,8341,14911823.076177469,0.6277567386945868,0.6264035386185778
rev_0.10_rar_-0.40,0.013063776317691594,2609457.9380089673,2039,0.13536047081902894,0.7272801952776604,0.44473744229378925,0.13983986526732112,0.19932809061288564,8239,14892928.801909529,0.6199599019826242,0.6188045820573891
rev_0.30_rar_-0.20,-0.0010178534008263543,2608992.174753421,2062,0.1367604267701261,0.7320231892221754,0.44297038084359225,0.1390715994247917,0.2081666023525968,8307,14909243.873686772,0.6246380040098017,0.6241351933764319
rev_0.35_rar_-0.20,-0.012512373481829885,2608765.200796526,2113,0.14008518693800284,0.7299145660235647,0.4449203125382076,0.1397412357259391,0.20950063508230843,8467,14906104.381128898,0.6368901759857429,0.6360440058976976
rev_0.40_rar_0.35,-0.025997425514729715,2608670.6330682277,2077,0.137217140105922,0.7312045251842465,0.4611989399904976,0.14575112973782575,0.23236083916854075,8281,14761786.22980852,0.6264201381153932,0.620279006464784
rev_0.20_rar_-0.20,-0.009891073808999517,2608526.2023320305,2114,0.13954588457899716,0.7356752570060555,0.4401896767901984,0.13813299623981423,0.20590480614273476,8413,14830364.648510575,0.6339942080641569,0.6313938981512986
rev_-0.20_rar_0.10,0.02039693460887409,2608480.71738925,1914,0.12957157784743992,0.7305877106510821,0.44546113691350253,0.13963375784412432,0.21415879955863923,7782,14597320.710120387,0.5849855201603921,0.5847794034252013
rev_0.25_rar_-0.15,-0.0011016524987735037,2608208.407796369,2056,0.13618677042801555,0.735273435666338,0.4408550641491136,0.13834001884299962,0.20849846741244613,8274,14854821.058073923,0.6212965025618178,0.6220936826585006
rev_0.30_rar_-0.35,0.004990677662799816,2607883.392631158,2062,0.13724539282250242,0.7243078439656387,0.4467960337254463,0.14039495956097087,0.20445806285348628,8323,14978420.018198064,0.6255290710625975,0.6254962005217194
rev_0.20_rar_-0.10,-0.0037121993105253973,2607821.412985917,2070,0.13671497584541062,0.7378589869971366,0.4394813102735933,0.1378578792602668,0.20913635766223293,8280,14818190.960446205,0.6235241701938071,0.6216400136100715
